星視界-大陆央视,#genre#
MyTVSuper奥运807,https://api.btbt.im/live?id=mytvsuper-oly807
MyTVSuper奥运808,https://api.btbt.im/live?id=mytvsuper-oly808
MyTVSuper奥运809,https://api.btbt.im/live?id=mytvsuper-oly809
MyTVSuper奥运810,https://api.btbt.im/live?id=mytvsuper-oly810
MyTVSuper奥运811,https://api.btbt.im/live?id=mytvsuper-oly811
MyTVSuper奥运812,https://api.btbt.im/live?id=mytvsuper-oly812
MyTVSuper奥运813,https://api.btbt.im/live?id=mytvsuper-oly813
MyTVSuper奥运814,https://api.btbt.im/live?id=mytvsuper-oly814
MyTVSuper奥运815,https://api.btbt.im/live?id=mytvsuper-oly815
MyTVSuper奥运816,https://api.btbt.im/live?id=mytvsuper-oly816
MyTVSuper奥运817,https://api.btbt.im/live?id=mytvsuper-oly817
大陆卫视,#genre#
湖南卫视,https://api.btbt.im/live?id=hunan
浙江卫视,https://api.btbt.im/live?id=zhejiang
东方卫视,https://api.btbt.im/live?id=dongfang
江苏卫视,https://api.btbt.im/live?id=jiangsu
北京卫视,https://api.btbt.im/live?id=beijing
深圳卫视,https://api.btbt.im/live?id=shenzhen
广东卫视,https://api.btbt.im/live?id=guangdong
大湾区卫视,https://api.btbt.im/live?id=gdwqws
重庆卫视,https://api.btbt.im/live?id=chongqing
东南卫视,https://api.btbt.im/live?id=dongnan
广西卫视,https://api.btbt.im/live?id=guangxi
贵州卫视,https://api.btbt.im/live?id=guizhou
海南卫视,https://api.btbt.im/live?id=hainan
河北卫视,https://api.btbt.im/live?id=hebei
黑龙江卫视,https://api.btbt.im/live?id=heilongjiang
湖北卫视,https://api.btbt.im/live?id=hubei
江西卫视,https://api.btbt.im/live?id=jiangxi
吉林卫视,https://api.btbt.im/live?id=jilin
辽宁卫视,https://api.btbt.im/live?id=liaoning
内蒙古卫视,https://api.btbt.im/live?id=neimenggu
宁夏卫视,https://api.btbt.im/live?id=ningxia
陕西卫视,https://api.btbt.im/live?id=shaanxi
山东卫视,https://api.btbt.im/live?id=shandong
山西卫视,https://api.btbt.im/live?id=shanxi
四川卫视,https://api.btbt.im/live?id=sichuan
天津卫视,https://api.btbt.im/live?id=tianjin
厦门卫视,https://api.btbt.im/live?id=xiamen
新疆卫视,https://api.btbt.im/live?id=xinjiang
西藏卫视,https://api.btbt.im/live?id=xizang
云南卫视,https://api.btbt.im/live?id=yunnan
安徽卫视,https://api.btbt.im/live?id=anhui
河南卫视,https://api.btbt.im/live?id=henan
青海卫视,https://api.btbt.im/live?id=qinghai
甘肃卫视,https://api.btbt.im/live?id=gansu
港澳频道,#genre#
TVB 翡翠台,https://api.btbt.im/live?id=feicui
TVB 无线新闻台,https://api.btbt.im/live?id=tvb-news
TVB PLUS,https://api.btbt.im/live?id=tvb-plus
TVB 黄金翡翠台,https://api.btbt.im/live?id=golden-jade
TVB 黄金华剧台,https://api.btbt.im/live?id=golden-chinese-drama
TVB 千禧经典台,https://api.btbt.im/live?id=tvb-classic
TVB 粤语片台,https://api.btbt.im/live?id=tvb-yueyu
TVB 星河台,https://api.btbt.im/live?id=tvb-xinghe
TVB 亚洲剧台,https://api.btbt.im/live?id=tvb-asia-drama
TVB 娱乐新闻台,https://api.btbt.im/live?id=TVB ylxw
J2,https://api.btbt.im/live?id=j2
TVB 明珠台,https://api.btbt.im/live?id=pearl
TVB 华语剧台,https://api.btbt.im/live?id=tvb-drama
TVB功夫台,https://api.btbt.im/live?id=tvb-kongfu
凤凰卫视 资讯台,https://api.btbt.im/live?id=phtv-info
凤凰卫视 中文台,https://api.btbt.im/live?id=phtv-cn
凤凰卫视 香港台,https://api.btbt.im/live?id=phtv-hk
